P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
OGLE-2016-BLG-1227L b,Microlensing,OGLE,2020,250.0,Mass,13.9,,3.4,,,,OGLE-2016-BLG-1227L,,,,,0.1,,,,,,4.2409446,17.985612,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,3.4,,,,Jovian,,,,,0.21413342,0,0,,0,,0
Kepler-829 b,Transit,Kepler,2016,5.1,M-R relationship,2.11,6.8833756,0.0678,0.0,89.82,,Kepler-829,,14.973,1073.76,5698.0,0.98,0.97,0.03,4.68,0.04,4.46,1.5546902,2.4170616,1.1455268,0.54290371,0.0011752483,0.0678,0.0678,0.0678,0.0678,238.52868,1001.1171,1130.6044,Superterran,G,1.0964782,2.8272471,1.7563169,0.45955889,0,0,Hot,0,0.25476271,0
K2-283 b,Transit,K2,2018,12.2,M-R relationship,3.52,1.921036,0.0291,,,,K2-283,,14.364,402.915,5060.0,0.89,0.82,0.28,,-0.524,4.56,1.8616952,3.4659091,0.98463326,0.27972536,0.00069662894,0.0291,0.0291,0.0291,0.0291,353.35726,1104.4682,,Neptunian,K,0.29922646,1.4769431,0.56837407,0.44375963,0,0,Hot,0,0.19390612,0
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,13.2,Mass,2.76,7.493134,0.0657,0.0,87.97,0.0,TOI-1260,K6 V,11.922,73.5977,4227.0,0.68,0.67,-0.1,6.7,-0.889,4.57,2.1869176,4.7826087,1.7328292,0.62783668,0.0017661962,0.0657,0.0657,0.0657,0.0657,29.91364,595.75408,,Neptunian,K,0.12912193,0.97020557,0.1242103,0.43192361,0,0,Hot,0,0.26044049,0
HD 149143 b,Radial Velocity,Haute-Provence Observatory,2005,422.7139,Msini,13.6,4.07182,0.053,0.0167,,217.0,HD 149143,G0,7.89,73.2801,5856.0,1.2,1.44,0.29,4.28,0.35,4.25,5.5751147,31.081904,2.2854341,0.16804663,0.0036815914,0.053007391,0.0521149,0.0538851,0.053001848,797.0927,1353.4874,,Jovian,G,2.2387211,4.0398363,2.4649488,0.48438708,0,0,Hot,0,0.067319209,0
HD 99492 b,Radial Velocity,W. M. Keck Observatory,2004,25.5,Msini,5.44,17.0503,0.12,0.034,,154.3,HD 99492,K2 V,7.56727,18.2038,4929.0,0.85,0.82,0.3,4.8,-0.475,4.57,2.1650635,4.6875,0.86167279,0.15839573,0.0036028875,0.12006936,0.11592,0.12408,0.12001735,23.274946,559.40675,,Neptunian,K,0.33496544,1.5626574,0.44692616,0.44012025,0,0,Hot,0,0.18841577,0
75 Cet b,Radial Velocity,Okayama Astrophysical Observatory,2012,787.89662,Msini,13.3,696.62,1.912,0.093,,-157.6,75 Cet,G3 III,5.3532,82.9613,4809.0,1.92,10.38,0.1,,1.714,2.69,7.6967751,59.240347,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,1.914073,14.220357,493.87889,,Jovian,G,51.760683,19.425122,0.4771582,0.57339188,0,0,Hot,0,0.13562122,0
TOI-4562 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,732.0,Mass,12.53,225.11781,0.768,0.76,89.06,60.0,TOI-4562,F7 V,12.14,339.605,6096.0,1.19,1.15,0.08,0.7,0.253,4.39,7.6432841,58.419792,4.6623937,0.37209846,0.015679989,0.9897984,0.18432,1.35168,0.83834061,4.6710617,321.83958,,Jovian,F,1.7906059,3.6129651,3.7124856,0.35720991,0,0,Hot,0,0.24327995,0
HIP 12961 b,Radial Velocity,La Silla Observatory,2010,114.4188,Msini,13.2,57.435,0.25,0.17,,272.0,HIP 12961,M0,10.25,23.371,3901.0,0.69,0.65,-0.14,,-1.003,4.65,2.9441622,8.6680909,0.65667355,0.049747996,0.011403009,0.2536125,0.2075,0.2925,0.25091181,1.6124565,285.48886,,Jovian,M,0.099311605,0.85087108,0.071291305,0.40766256,0,0,Hot,0,0.37027471,0
HD 29985 b,Radial Velocity,Multiple Observatories,2022,1739.4749,Mass,12.8,20608.14,13.39,0.261,52.658,89.414,HD 29985,,9.98,31.2707,4678.0,0.75,0.57,-0.22,,-0.846,4.79,11.657464,135.89647,10.616912,0.82944625,1.3101748,13.84607,9.89521,16.88479,13.506651,0.00082368107,42.591788,,Jovian,K,0.14256076,1.0194449,0.2785101,0.419152,0,0,Cold,0,0.070521771,0
