# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec 12 06:38:26 2025
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.00000000000,,,,591.16083702,1.86000000,Msini,0.330000,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.00,0.203000,0.480000,,,5.508000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000,12.6510000,12.9550000,12.1376000,2022-04-19,2022-04,2022-04-19
KIC 10001893 b,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.21970000000,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.00,,,,,5.350000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94000000,15.8290000,16.6120000,15.7109000,2014-10-03,2014-10,2014-10-03
KIC 10001893 c,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.32528000000,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.00,,,,,5.350000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94000000,15.8290000,16.6120000,15.7109000,2014-10-03,2014-10,2014-10-03
KIC 10001893 d,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.81161000000,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.00,,,,,5.350000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94000000,15.8290000,16.6120000,15.7109000,2014-10-03,2014-10,2014-10-03
KIC 10068024 b,KIC 10068024,1,1,1,Orbital Brightness Modulation,2021,Kepler,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,2.07354900000,,,,635.65681400,2.00000000,Msini,,,,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,6118.40,1.574000,1.220000,0.0100,[Fe/H],4.092000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m23.29s,288.8470423,+47d01m22.30s,47.0228607,721.10500000,13.1440000,11.8300000,13.1059000,2021-08-10,2021-10,2021-08-10
KIC 10525077 b,KIC 10525077,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,854.08300000000,,5.50000000,0.49067713,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6091.00,1.010000,1.010000,-0.0400,[Fe/H],4.420000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m30.75s,287.3781164,+47d46m16.15s,47.7711541,1461.15000000,15.5920000,13.7540000,15.3043000,2015-12-24,2015-12,2016-01-05
KIC 3558849 b,KIC 3558849,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,1322.30000000000,,6.90000000,0.61557677,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6175.00,1.010000,0.980000,-0.4200,[Fe/H],4.440000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m47.96s,294.9498381,+38d36m18.67s,38.6051867,1215.70000000,14.3200000,12.7670000,14.1674000,2015-12-24,2015-12,2016-01-05
KIC 5437945 b,KIC 5437945,1,1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,440.78130000000,,6.40000000,0.57096976,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6340.00,1.240000,1.070000,-0.3800,[Fe/H],4.160000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01000000,13.8340000,12.3670000,13.7506000,2015-12-24,2015-12,2016-01-05
KIC 5479689 b,KIC 5479689,1,1,1,Orbital Brightness Modulation,2021,Kepler,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,1.70153100000,,,,158.91420350,0.50000000,Msini,,,,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,5459.10,0.894000,0.966000,0.1610,[Fe/H],4.520000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m18.12s,299.3254983,+40d38m17.24s,40.6381229,454.95000000,13.9290000,11.9370000,13.7459000,2021-08-10,2021-10,2021-08-10
KIC 7917485 b,KIC 7917485,1,1,1,Pulsation Timing Variations,2016,Kepler,Published Confirmed,0,<a refstr=MURPHY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..17M/abstract target=ref>Murphy et al. 2016</a>,840.00000000000,,,,3750.39400000,11.80000000,Msini,0.150000,,,0,<a refstr=MURPHY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..17M/abstract target=ref>Murphy et al. 2016</a>,A,7067.00,,1.630000,-0.0200,[Fe/H],4.000000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m44.31s,299.4346094,+43d37m57.38s,43.6326069,1382.89000000,13.1660000,12.1110000,13.1092000,2016-08-17,2016-08,2016-08-18
